filename,makespan,time,ub
15x10+mix_013,382.0,1802.7150428295135,382.0
15x10+mix_014,375.0,1802.650894165039,375.0
15x10+mix_015,356.0,1803.0089411735535,356.0
15x10+mix_016,419.0,1802.9457812309265,419.0
15x10+mix_017,381.0,1802.7624082565308,381.0
15x10+mix_018,355.0,125.11625099182129,355.0
15x10+mix_019,384.0,1497.1491675376892,384.0
15x10+mix_020,385.0,1803.352079629898,385.0
15x10+mix_021,378.0,1803.1329472064972,378.0
15x10+mix_022,382.0,238.20863008499146,382.0
15x10+mix_023,423.0,1802.9537327289581,423.0
15x10+mix_024,394.0,1802.9728646278381,394.0
15x10+mix_025,397.0,1802.8844532966614,397.0
15x10+mix_026,378.0,1803.1388432979584,378.0
15x10+mix_027,313.0,1802.8645033836365,313.0
15x10+mix_028,379.0,1802.5103769302368,379.0
15x10+mix_029,466.0,29.101516485214233,466.0
15x10+mix_030,366.0,1802.7406132221222,366.0
15x10+mix_031,344.0,1802.7795572280884,344.0
15x10+mix_032,448.0,1802.8118982315063,448.0
15x10+mix_033,343.0,1803.4862146377563,343.0
15x10+mix_034,401.0,1803.4143018722534,401.0
15x10+mix_035,362.0,1802.965791940689,362.0
15x10+mix_036,346.0,1802.7252702713013,346.0
15x10+mix_037,363.0,1802.813934803009,363.0
15x10+mix_038,390.0,1802.9213199615479,390.0
15x10+mix_039,406.0,1802.7566876411438,406.0
15x10+mix_040,360.0,1802.8147914409637,360.0
15x10+mix_041,384.0,280.7404363155365,384.0
15x10+mix_042,341.0,1802.7290577888489,341.0
15x10+mix_043,395.0,1802.814436674118,395.0
15x10+mix_044,384.0,1802.9595942497253,384.0
15x10+mix_045,370.0,1802.645544052124,370.0
15x10+mix_046,344.0,280.277037858963,344.0
15x10+mix_047,361.0,377.4756941795349,361.0
15x10+mix_048,365.0,1803.0272552967072,365.0
15x10+mix_049,378.0,1802.6810970306396,378.0
15x10+mix_050,412.0,1802.9966526031494,412.0
15x10+mix_051,305.0,1802.9701564311981,305.0
15x10+mix_052,338.0,1803.219942331314,338.0
15x10+mix_053,352.0,1802.803010225296,352.0
15x10+mix_054,357.0,1803.2247307300568,357.0
15x10+mix_055,364.0,1802.9784078598022,364.0
15x10+mix_056,338.0,1802.8972661495209,338.0
15x10+mix_057,392.0,1197.7936334609985,392.0
15x10+mix_058,379.0,1365.435199022293,379.0
15x10+mix_059,382.0,47.09381556510925,382.0
15x10+mix_060,439.0,70.43496656417847,439.0
15x10+mix_061,401.0,538.832991361618,401.0
15x10+mix_062,351.0,1802.649225950241,351.0
15x10+mix_063,372.0,1803.177437543869,372.0
15x10+mix_064,376.0,401.88826417922974,376.0
15x10+mix_065,330.0,1803.1612887382507,330.0
15x10+mix_066,366.0,1802.9988915920258,366.0
15x10+mix_067,369.0,1803.300443649292,369.0
15x10+mix_068,375.0,69.59385013580322,375.0
15x10+mix_069,412.0,1360.9474346637726,412.0
15x10+mix_070,331.0,1803.1495254039764,331.0
15x10+mix_071,361.0,1803.2524127960205,361.0
15x10+mix_072,350.0,1803.4715490341187,350.0
15x10+mix_073,339.0,1802.993327140808,339.0
15x10+mix_074,422.0,1803.2571816444397,422.0
15x10+mix_075,382.0,36.8461434841156,382.0
15x10+mix_076,388.0,1802.9685506820679,388.0
15x10+mix_077,459.0,68.72034502029419,459.0
15x10+mix_078,396.0,1803.0449049472809,396.0
15x10+mix_079,360.0,1803.019686460495,360.0
15x10+mix_080,452.0,929.4472508430481,452.0
15x10+mix_081,360.0,747.1201961040497,360.0
15x10+mix_082,323.0,1803.0943100452423,323.0
15x10+mix_083,370.0,1803.2497158050537,370.0
15x10+mix_084,374.0,1802.9346795082092,374.0
15x10+mix_085,419.0,1802.9617245197296,419.0
15x10+mix_086,342.0,1803.0147902965546,342.0
15x10+mix_087,346.0,1802.895702123642,346.0
15x10+mix_088,331.0,1802.839200258255,331.0
15x10+mix_089,370.0,1802.7689046859741,370.0
15x10+mix_090,458.0,44.14338493347168,458.0
15x10+mix_091,342.0,1803.0097379684448,342.0
15x10+mix_092,405.0,1802.9708542823792,405.0
15x10+mix_093,407.0,644.2945189476013,407.0
15x10+mix_094,334.0,1803.061598777771,334.0
15x10+mix_095,363.0,477.114533662796,363.0
15x10+mix_096,406.0,1802.8797907829285,406.0
15x10+mix_097,384.0,1158.1423256397247,384.0
15x10+mix_098,381.0,1802.7478249073029,381.0
15x10+mix_099,359.0,1802.9632983207703,359.0
15x10+mix_100,408.0,1802.6962585449219,408.0
20x10+mix_001,490.0,1806.302984237671,490.0
20x10+mix_002,524.0,1805.0977227687836,524.0
20x10+mix_003,389.0,1805.5330622196198,389.0
20x10+mix_004,423.0,1805.9926521778107,423.0
20x10+mix_005,464.0,1805.111278295517,464.0
20x10+mix_006,494.0,1805.3043069839478,494.0
20x10+mix_007,469.0,1804.9943389892578,469.0
20x10+mix_008,437.0,1805.6173627376556,437.0
20x10+mix_009,436.0,1805.0972883701324,436.0
20x10+mix_010,457.0,1805.675880908966,457.0
20x10+mix_011,461.0,1805.3317708969116,461.0
20x10+mix_012,502.0,1805.109243631363,502.0
20x10+mix_013,517.0,1805.4936156272888,517.0
20x10+mix_014,456.0,342.23973393440247,456.0
20x10+mix_015,419.0,1805.0269393920898,419.0
20x10+mix_016,486.0,1804.7444865703583,486.0
20x10+mix_017,484.0,1804.8255786895752,484.0
20x10+mix_018,455.0,1805.4177520275116,455.0
20x10+mix_019,522.0,1805.3205502033234,522.0
20x10+mix_020,459.0,1805.0943303108215,459.0
20x10+mix_021,419.0,1805.3174846172333,419.0
20x10+mix_022,496.0,1805.3695764541626,496.0
20x10+mix_023,461.0,1805.2103164196014,461.0
20x10+mix_024,434.0,1804.9815301895142,434.0
20x10+mix_025,463.0,1804.7869684696198,463.0
20x10+mix_026,522.0,1805.2264692783356,522.0
20x10+mix_027,511.0,1804.5428709983826,511.0
20x10+mix_028,464.0,1804.825593471527,464.0
20x10+mix_029,435.0,1805.0158705711365,435.0
20x10+mix_030,437.0,1804.9741616249084,437.0
20x10+mix_031,484.0,1804.935506105423,484.0
20x10+mix_032,470.0,1804.9966216087341,470.0
20x10+mix_033,484.0,1805.1619699001312,484.0
20x10+mix_034,438.0,1804.8057577610016,438.0
20x10+mix_035,515.0,1805.099841594696,515.0
20x10+mix_036,453.0,1805.2850489616394,453.0
20x10+mix_037,481.0,1804.901736497879,481.0
20x10+mix_038,557.0,1805.491917848587,557.0
20x10+mix_039,511.0,1804.8736429214478,511.0
20x10+mix_040,432.0,1804.8139629364014,432.0
20x10+mix_041,463.0,1804.9128482341766,463.0
20x10+mix_042,462.0,1805.001856803894,462.0
20x10+mix_043,449.0,1805.6435945034027,449.0
20x10+mix_044,498.0,1805.1047794818878,498.0
20x10+mix_045,409.0,1806.034691810608,409.0
20x10+mix_046,462.0,1804.9016435146332,462.0
20x10+mix_047,373.0,1805.228146314621,373.0
20x10+mix_048,463.0,1805.1680834293365,463.0
20x10+mix_049,484.0,1805.0200181007385,484.0
20x10+mix_050,466.0,1805.2882783412933,466.0
20x10+mix_051,456.0,1805.147042274475,456.0
20x10+mix_052,510.0,1804.6930446624756,510.0
20x10+mix_053,479.0,1805.1879198551178,479.0
20x10+mix_054,420.0,1805.10275888443,420.0
20x10+mix_055,393.0,1804.9387776851654,393.0
